# Forge decision chain, generated, do not edit
# Each line: <id> <status> <fingerprint> <links-to>

001 decided  53495545338f91c4 → genesis
002 decided  1d5300ecca7d57fc → 53495545338f91c4
003 decided  bb86fc9d6da1a5f1 → 1d5300ecca7d57fc
004 decided  99a3fa353414864e → bb86fc9d6da1a5f1
005 decided  c2c648732e2e97d8 → 99a3fa353414864e
006 decided  52fb989a9342981a → c2c648732e2e97d8
007 decided  da7ef82ff34524b5 → 52fb989a9342981a
008 decided  5e2b1377abbda6d7 → da7ef82ff34524b5
009 decided  67115fa543fbe557 → 5e2b1377abbda6d7
010 decided  9ddd447bf38296e5 → 67115fa543fbe557
011 decided  9335778c21510f4a → 9ddd447bf38296e5
013 decided  1624224175b3cee3 → 9335778c21510f4a
014 decided  c42dc9367b71e88d → 1624224175b3cee3
015 decided  5de3153bc9fc3662 → c42dc9367b71e88d
016 decided  fcc1c1d158f63018 → 5de3153bc9fc3662
017 decided  abc2a0c4cf80bd6c → fcc1c1d158f63018
018 decided  22be2b7ced0f1db2 → abc2a0c4cf80bd6c
019 decided  2ae51feb453e0bfd → 22be2b7ced0f1db2
020 decided  0e03330b402f289d → 2ae51feb453e0bfd
021 decided  986e05c49120d48f → 0e03330b402f289d
022 decided  1439b2cfdbbc7bc3 → 986e05c49120d48f
023 decided  5f9af41beda5ca91 → 1439b2cfdbbc7bc3
024 decided  4f5eca37a24cf84f → 5f9af41beda5ca91
025 decided  149d0a496a2b96ea → 4f5eca37a24cf84f
026 decided  ce4e33da2a2c29b0 → 149d0a496a2b96ea
027 decided  a529e5eda682d7cf → ce4e33da2a2c29b0
028 decided  27d3f060bc54e9e9 → a529e5eda682d7cf
029 decided  31daa09cba1a0312 → 27d3f060bc54e9e9
030 decided  ca96e31a19bc8a5f → 31daa09cba1a0312
031 decided  7222fdf6183c3981 → ca96e31a19bc8a5f
032 decided  1773fc2094f2df60 → 7222fdf6183c3981
033 decided  551a147cb497ac22 → 1773fc2094f2df60
034 decided  d9a595cfd775e2fc → 551a147cb497ac22
035 decided  bf1917b6c61a3a5b → d9a595cfd775e2fc
036 decided  7d4ab2884cd547fc → bf1917b6c61a3a5b
037 decided  04d45bc7f7059403 → 7d4ab2884cd547fc
038 decided  d0041541f0c95280 → 04d45bc7f7059403
039 decided  431317e802396297 → d0041541f0c95280
040 decided  99ca02c4a7e549a3 → 431317e802396297
041 decided  070c7ca6109478cb → 99ca02c4a7e549a3
